ids	VEPfile
ENSG00000252374	vep_PanCan_chr_7_100001-200000
ENSG00000223445	vep_PanCan_chr_7_100001-200000
ENSG00000136267	vep_PanCan_chr_7_100001-200000
ENSG00000233167	vep_PanCan_chr_7_100001-200000
ENSG00000221428	vep_PanCan_chr_7_100001-200000
ENSG00000226323	vep_PanCan_chr_7_100001-200000
ENSG00000225816	vep_PanCan_chr_7_100001-200000
ENSG00000227489	vep_PanCan_chr_7_100001-200000
ENSG00000187546	vep_PanCan_chr_7_100001-200000
ENSG00000106511	vep_PanCan_chr_7_100001-200000
ENSG00000237070	vep_PanCan_chr_7_100001-200000
ENSG00000229108	vep_PanCan_chr_7_100001-200000
ENSG00000225974	vep_PanCan_chr_7_100001-200000
ENSG00000235828	vep_PanCan_chr_7_100001-200000
ENSG00000229379	vep_PanCan_chr_7_100001-200000
ENSG00000273477	vep_PanCan_chr_7_100001-200000
ENSG00000230981	vep_PanCan_chr_7_100001-200000
ENSG00000214960	vep_PanCan_chr_7_100001-200000
ENSG00000224683	vep_PanCan_chr_7_100001-200000
ENSG00000229688	vep_PanCan_chr_7_100001-200000
ENSG00000171243	vep_PanCan_chr_7_100001-200000
ENSG00000272537	vep_PanCan_chr_7_100001-200000
ENSG00000205858	vep_PanCan_chr_7_100001-200000
ENSG00000224280	vep_PanCan_chr_7_100001-200000
ENSG00000272361	vep_PanCan_chr_7_100001-200000
ENSG00000106524	vep_PanCan_chr_7_100001-200000
ENSG00000136261	vep_PanCan_chr_7_100001-200000
ENSG00000235837	vep_PanCan_chr_7_100001-200000
ENSG00000106537	vep_PanCan_chr_7_100001-200000
ENSG00000267906	vep_PanCan_chr_7_100001-200000
ENSG00000106541	vep_PanCan_chr_7_100001-200000
ENSG00000270593	vep_PanCan_chr_7_100001-200000
ENSG00000173467	vep_PanCan_chr_7_100001-200000
ENSG00000232400	vep_PanCan_chr_7_100001-200000
ENSG00000227965	vep_PanCan_chr_7_100001-200000
ENSG00000223867	vep_PanCan_chr_7_100001-200000
ENSG00000232841	vep_PanCan_chr_7_100001-200000
ENSG00000237773	vep_PanCan_chr_7_100001-200000
ENSG00000106546	vep_PanCan_chr_7_100001-200000
ENSG00000199473	vep_PanCan_chr_7_100001-200000
ENSG00000236318	vep_PanCan_chr_7_100001-200000
ENSG00000236039	vep_PanCan_chr_7_100001-200000
ENSG00000226598	vep_PanCan_chr_7_100001-200000
ENSG00000228675	vep_PanCan_chr_7_100001-200000
ENSG00000071189	vep_PanCan_chr_7_100001-200000
ENSG00000236195	vep_PanCan_chr_7_100001-200000
ENSG00000265876	vep_PanCan_chr_7_100001-200000
ENSG00000229937	vep_PanCan_chr_7_100001-200000
ENSG00000048052	vep_PanCan_chr_7_100001-200000
ENSG00000221393	vep_PanCan_chr_7_100001-200000
ENSG00000223030	vep_PanCan_chr_7_100001-200000
ENSG00000225000	vep_PanCan_chr_7_100001-200000
ENSG00000222164	vep_PanCan_chr_7_100001-200000
ENSG00000226522	vep_PanCan_chr_7_100001-200000
ENSG00000232492	vep_PanCan_chr_7_100001-200000
ENSG00000232821	vep_PanCan_chr_7_100001-200000
ENSG00000122691	vep_PanCan_chr_7_100001-200000
ENSG00000236536	vep_PanCan_chr_7_100001-200000
ENSG00000229533	vep_PanCan_chr_7_100001-200000
ENSG00000146618	vep_PanCan_chr_7_100001-200000
ENSG00000223838	vep_PanCan_chr_7_100001-200000
ENSG00000105849	vep_PanCan_chr_7_100001-200000
ENSG00000265932	vep_PanCan_chr_7_100001-200000
ENSG00000173452	vep_PanCan_chr_7_100001-200000
ENSG00000221576	vep_PanCan_chr_7_100001-200000
ENSG00000237921	vep_PanCan_chr_7_100001-200000
ENSG00000243004	vep_PanCan_chr_7_100001-200000
ENSG00000213860	vep_PanCan_chr_7_100001-200000
ENSG00000267055	vep_PanCan_chr_7_100001-200000
ENSG00000183742	vep_PanCan_chr_7_100001-200000
ENSG00000228598	vep_PanCan_chr_7_100001-200000
ENSG00000233834	vep_PanCan_chr_7_100001-200000
ENSG00000226097	vep_PanCan_chr_7_100001-200000
ENSG00000271133	vep_PanCan_chr_7_100001-200000
ENSG00000105855	vep_PanCan_chr_7_100001-200000
ENSG00000200753	vep_PanCan_chr_7_100001-200000
ENSG00000179460	vep_PanCan_chr_7_100001-200000
ENSG00000231525	vep_PanCan_chr_7_100001-200000
ENSG00000004846	vep_PanCan_chr_7_100001-200000
ENSG00000223866	vep_PanCan_chr_7_100001-200000
ENSG00000164651	vep_PanCan_chr_7_100001-200000
ENSG00000219451	vep_PanCan_chr_7_100001-200000
ENSG00000232790	vep_PanCan_chr_7_100001-200000
ENSG00000234839	vep_PanCan_chr_7_100001-200000
ENSG00000243633	vep_PanCan_chr_7_100001-200000
ENSG00000225308	vep_PanCan_chr_7_100001-200000
ENSG00000195024	vep_PanCan_chr_7_100001-200000
ENSG00000229949	vep_PanCan_chr_7_100001-200000
ENSG00000266862	vep_PanCan_chr_7_100001-200000
ENSG00000105866	vep_PanCan_chr_7_100001-200000
ENSG00000221783	vep_PanCan_chr_7_100001-200000
ENSG00000105877	vep_PanCan_chr_7_100001-200000
ENSG00000164649	vep_PanCan_chr_7_100001-200000
ENSG00000136237	vep_PanCan_chr_7_100001-200000
ENSG00000251993	vep_PanCan_chr_7_100001-200000
ENSG00000263927	vep_PanCan_chr_7_100001-200000
ENSG00000105889	vep_PanCan_chr_7_100001-200000
ENSG00000233476	vep_PanCan_chr_7_100001-200000
ENSG00000232759	vep_PanCan_chr_7_100001-200000
ENSG00000225541	vep_PanCan_chr_7_100001-200000
ENSG00000232949	vep_PanCan_chr_7_100001-200000
ENSG00000238033	vep_PanCan_chr_7_100001-200000
ENSG00000179428	vep_PanCan_chr_7_100001-200000
ENSG00000136244	vep_PanCan_chr_7_100001-200000
ENSG00000228803	vep_PanCan_chr_7_100001-200000
ENSG00000234513	vep_PanCan_chr_7_100001-200000
ENSG00000196683	vep_PanCan_chr_7_100001-200000
ENSG00000228649	vep_PanCan_chr_7_100001-200000
ENSG00000221740	vep_PanCan_chr_7_100001-200000
ENSG00000226329	vep_PanCan_chr_7_100001-200000
ENSG00000226279	vep_PanCan_chr_7_100001-200000
ENSG00000235664	vep_PanCan_chr_7_100001-200000
ENSG00000122591	vep_PanCan_chr_7_100001-200000
ENSG00000230658	vep_PanCan_chr_7_100001-200000
ENSG00000122550	vep_PanCan_chr_7_100001-200000
ENSG00000230042	vep_PanCan_chr_7_100001-200000
ENSG00000214871	vep_PanCan_chr_7_100001-200000
ENSG00000136243	vep_PanCan_chr_7_100001-200000
ENSG00000226816	vep_PanCan_chr_7_100001-200000
ENSG00000136235	vep_PanCan_chr_7_100001-200000
ENSG00000156928	vep_PanCan_chr_7_100001-200000
ENSG00000136231	vep_PanCan_chr_7_100001-200000
ENSG00000232627	vep_PanCan_chr_7_100001-200000
ENSG00000212264	vep_PanCan_chr_7_100001-200000
ENSG00000252590	vep_PanCan_chr_7_100001-200000
ENSG00000236654	vep_PanCan_chr_7_100001-200000
ENSG00000232818	vep_PanCan_chr_7_100001-200000
ENSG00000200847	vep_PanCan_chr_7_100001-200000
ENSG00000164548	vep_PanCan_chr_7_100001-200000
ENSG00000224785	vep_PanCan_chr_7_100001-200000
