geneID,transcriptID,protID
ENSG00000004059,ENST00000000233,sp|P84085|ARF5_HUMAN
ENSG00000010610,ENST00000011653,sp|P01730|CD4_HUMAN
ENSG00000008323,ENST00000011684,sp|Q3KR16|PKHG6_HUMAN
ENSG00000011105,ENST00000011898,sp|O75954|TSN9_HUMAN
ENSG00000011478,ENST00000012049,sp|Q9NXS2|QPCTL_HUMAN
ENSG00000011485,ENST00000012443,sp|P53041|PPP5_HUMAN
ENSG00000012963,ENST00000013070,sp|Q8N806|UBR7_HUMAN
ENSG00000012983,ENST00000013125,sp|Q9Y4K4|M4K5_HUMAN
ENSG00000241644,ENST00000013222,sp|O95050|INMT_HUMAN
ENSG00000013588,ENST00000014914,sp|Q8NFJ5|RAI3_HUMAN
ENSG00000013583,ENST00000014930,sp|Q9NRV9|HEBP1_HUMAN
ENSG00000197381,ENST00000348831,sp|P78563|RED1_HUMAN
ENSG00000014919,ENST00000016171,sp|Q7KZN9|COX15_HUMAN
ENSG00000071203,ENST00000016913,sp|Q9NXJ0|M4A12_HUMAN
ENSG00000015568,ENST00000016946,sp|Q99666|RGPD5_HUMAN
ENSG00000015532,ENST00000017003,sp|Q9H1B5|XYLT2_HUMAN
ENSG00000080293,ENST00000019103,sp|P47872|SCTR_HUMAN
ENSG00000017797,ENST00000019317,sp|Q15311|RBP1_HUMAN
ENSG00000019505,ENST00000020926,sp|Q7L8C5|SYT13_HUMAN
ENSG00000019549,ENST00000020945,sp|O43623|SNAI2_HUMAN
ENSG00000078668,ENST00000022615,sp|Q9Y277|VDAC3_HUMAN
ENSG00000022567,ENST00000024061,sp|Q5BKX6|S45A4_HUMAN
ENSG00000023516,ENST00000025301,sp|Q9UKA4|AKA11_HUMAN
ENSG00000007541,ENST00000026218,sp|Q9BRB3|PIGQ_HUMAN
ENSG00000079112,ENST00000027335,sp|Q12864|CAD17_HUMAN
ENSG00000027847,ENST00000029410,sp|Q9UBV7|B4GT7_HUMAN
ENSG00000031003,ENST00000033079,sp|Q9NYF5|FA13B_HUMAN
ENSG00000033100,ENST00000035307,sp|Q9P2E5|CHPF2_HUMAN
ENSG00000034713,ENST00000037243,sp|P60520|GBRL2_HUMAN
ENSG00000034971,ENST00000037502,sp|Q99972|MYOC_HUMAN
ENSG00000035141,ENST00000037869,sp|Q96C01|F136A_HUMAN
ENSG00000035681,ENST00000038176,sp|Q92636|FAN_HUMAN
ENSG00000036473,ENST00000039007,sp|P00480|OTC_HUMAN
ENSG00000052841,ENST00000039989,sp|Q96AE7|TTC17_HUMAN
ENSG00000037965,ENST00000040584,sp|P31273|HXC8_HUMAN
ENSG00000037757,ENST00000040663,sp|Q9BV20|MTNA_HUMAN
ENSG00000038219,ENST00000040738,sp|Q8NFC6|BD1L1_HUMAN
ENSG00000059588,ENST00000040877,sp|Q13395|TARB1_HUMAN
ENSG00000039523,ENST00000042381,sp|Q6ZS17|RIPR1_HUMAN
ENSG00000040608,ENST00000043402,sp|Q9BZR6|RTN4R_HUMAN
ENSG00000041357,ENST00000044462,sp|P25789|PSA4_HUMAN
ENSG00000042062,ENST00000045083,sp|Q96MK2|RIPR3_HUMAN
ENSG00000042813,ENST00000046087,sp|Q9BS86|ZPBP1_HUMAN
ENSG00000043462,ENST00000046794,sp|Q13094|LCP2_HUMAN
ENSG00000011465,ENST00000052754,sp|P07585|PGS2_HUMAN
ENSG00000048462,ENST00000053243,sp|Q02223|TNR17_HUMAN
ENSG00000048544,ENST00000053468,sp|P82664|RT10_HUMAN
ENSG00000030582,ENST00000053867,sp|P28799|GRN_HUMAN
ENSG00000041988,ENST00000054650,sp|Q8WTV1|THAP3_HUMAN
ENSG00000049245,ENST00000054666,sp|Q15836|VAMP3_HUMAN
ENSG00000049449,ENST00000054950,sp|Q15293|RCN1_HUMAN
ENSG00000049541,ENST00000055077,sp|P35250|RFC2_HUMAN
ENSG00000049769,ENST00000055335,sp|Q6ZSY5|PPR3F_HUMAN
ENSG00000050030,ENST00000055682,sp|Q5QGS0|NEXMI_HUMAN
ENSG00000050327,ENST00000056217,sp|Q12774|ARHG5_HUMAN
ENSG00000050344,ENST00000056233,sp|Q9Y4A8|NF2L3_HUMAN
ENSG00000052723,ENST00000060969,sp|Q9BRV8|SIKE1_HUMAN
ENSG00000038295,ENST00000061240,sp|O43897|TLL1_HUMAN
ENSG00000054803,ENST00000064571,sp|Q9NTU7|CBLN4_HUMAN
ENSG00000013297,ENST00000064724,sp|O75508|CLD11_HUMAN
ENSG00000054967,ENST00000064780,sp|Q969Z4|TR19L_HUMAN
ENSG00000004897,ENST00000066544,sp|P30260|CDC27_HUMAN
ENSG00000196083,ENST00000072516,sp|Q9NPH3|IL1AP_HUMAN
ENSG00000058799,ENST00000072644,sp|Q9Y548|YIPF1_HUMAN
ENSG00000133597,ENST00000072869,sp|Q7Z695|ADCK2_HUMAN
ENSG00000059804,ENST00000075120,sp|P11169|GTR3_HUMAN
ENSG00000060140,ENST00000075503,sp|Q6J9G0|STYK1_HUMAN
ENSG00000088256,ENST00000078429,sp|P29992|GNA11_HUMAN
ENSG00000060566,ENST00000078445,sp|Q68CJ9|CR3L3_HUMAN
ENSG00000061273,ENST00000080059,sp|Q8WUI4|HDAC7_HUMAN
ENSG00000061794,ENST00000081029,sp|P82673|RT35_HUMAN
ENSG00000062725,ENST00000083182,sp|Q92624|APBP2_HUMAN
ENSG00000063180,ENST00000084798,sp|O75493|CAH11_HUMAN
ENSG00000012124,ENST00000085219,sp|P20273|CD22_HUMAN
ENSG00000063515,ENST00000086933,sp|O15499|GSC2_HUMAN
ENSG00000053918,ENST00000155840,sp|P51787|KCNQ1_HUMAN
ENSG00000070985,ENST00000155858,sp|Q9NZQ8|TRPM5_HUMAN
ENSG00000071575,ENST00000155926,sp|Q92519|TRIB2_HUMAN
ENSG00000068394,ENST00000156109,sp|Q92917|GPKOW_HUMAN
ENSG00000021776,ENST00000156471,sp|O60306|AQR_HUMAN
ENSG00000070526,ENST00000156626,sp|Q9NSC7|SIA7A_HUMAN
ENSG00000071282,ENST00000157600,sp|Q9NZU5|LMCD1_HUMAN
ENSG00000013275,ENST00000157812,sp|P43686|PRS6B_HUMAN
ENSG00000073598,ENST00000158009,sp|Q8TC99|FNDC8_HUMAN
ENSG00000072818,ENST00000158762,sp|Q15027|ACAP1_HUMAN
ENSG00000072849,ENST00000158771,sp|Q9GZP9|DERL2_HUMAN
ENSG00000074771,ENST00000159060,sp|Q9HBY0|NOX3_HUMAN
ENSG00000074855,ENST00000159087,sp|Q9HCE9|ANO8_HUMAN
ENSG00000076662,ENST00000160262,sp|P32942|ICAM3_HUMAN
ENSG00000076826,ENST00000160298,sp|Q9P1Y5|CAMP3_HUMAN
ENSG00000077063,ENST00000160373,sp|Q8WZ74|CTTB2_HUMAN
ENSG00000077080,ENST00000160382,sp|O94805|ACL6B_HUMAN
ENSG00000079616,ENST00000160827,sp|Q14807|KIF22_HUMAN
ENSG00000005001,ENST00000161006,sp|Q9GZN4|BSSP4_HUMAN
ENSG00000079385,ENST00000161559,sp|P13688|CEAM1_HUMAN
ENSG00000047188,ENST00000161863,sp|Q9H6S0|YTDC2_HUMAN
ENSG00000064545,ENST00000162044,sp|Q9NX61|T161A_HUMAN
ENSG00000050820,ENST00000162330,sp|P56945|BCAR1_HUMAN
ENSG00000065970,ENST00000162391,sp|Q9P0K8|FOXJ2_HUMAN
ENSG00000067182,ENST00000162749,sp|P19438|TNR1A_HUMAN
ENSG00000066455,ENST00000163416,sp|Q8TBA6|GOGA5_HUMAN
ENSG00000008300,ENST00000164024,sp|Q9NYQ7|CELR3_HUMAN
ENSG00000068971,ENST00000164133,sp|Q15173|2A5B_HUMAN
ENSG00000068976,ENST00000164139,sp|P11217|PYGM_HUMAN
ENSG00000069399,ENST00000164227,sp|P20749|BCL3_HUMAN
ENSG00000069943,ENST00000164305,sp|Q92521|PIGB_HUMAN
ENSG00000067840,ENST00000164640,sp|Q76G19|PDZD4_HUMAN
ENSG00000071677,ENST00000165524,sp|P81277|PRRP_HUMAN
ENSG00000068615,ENST00000165698,sp|Q9H902|REEP1_HUMAN
ENSG00000070404,ENST00000166139,sp|O95633|FSTL3_HUMAN
ENSG00000070886,ENST00000166244,sp|P29322|EPHA8_HUMAN
ENSG00000071539,ENST00000166345,sp|Q15645|PCH2_HUMAN
ENSG00000071246,ENST00000167106,sp|Q7L8A9|VASH1_HUMAN
ENSG00000186847,ENST00000167586,sp|P02533|K1C14_HUMAN
ENSG00000171431,ENST00000167588,sp|P35900|K1C20_HUMAN
ENSG00000072506,ENST00000168216,sp|Q99714|HCD2_HUMAN
ENSG00000075388,ENST00000168712,sp|P08620|FGF4_HUMAN
ENSG00000077009,ENST00000168977,sp|Q9NPI5|NRK2_HUMAN
ENSG00000073849,ENST00000169298,sp|P15907|SIAT1_HUMAN
ENSG00000075336,ENST00000169551,sp|Q9BVV7|TIM21_HUMAN
ENSG00000078898,ENST00000170150,sp|Q8N4F0|BPIB2_HUMAN
ENSG00000079313,ENST00000170168,sp|Q8N1G1|REXO1_HUMAN
ENSG00000075975,ENST00000170447,sp|Q9H000|MKRN2_HUMAN
ENSG00000076650,ENST00000170564,sp|Q9BRR8|GPTC1_HUMAN
ENSG00000079999,ENST00000171111,sp|Q14145|KEAP1_HUMAN
ENSG00000078589,ENST00000171757,sp|O00398|P2Y10_HUMAN
ENSG00000079308,ENST00000171887,sp|Q9HBL0|TENS1_HUMAN
ENSG00000064300,ENST00000172229,sp|P08138|TNR16_HUMAN
ENSG00000065320,ENST00000173229,sp|O95631|NET1_HUMAN
ENSG00000066583,ENST00000173527,sp|Q96CN7|ISOC1_HUMAN
ENSG00000067445,ENST00000173898,sp|Q12816|TROP_HUMAN
ENSG00000070444,ENST00000174618,sp|Q99583|MNT_HUMAN
ENSG00000068697,ENST00000175091,sp|Q15012|LAP4A_HUMAN
ENSG00000069206,ENST00000175238,sp|Q9H2U9|ADAM7_HUMAN
ENSG00000072135,ENST00000175756,sp|Q99952|PTN18_HUMAN
ENSG00000069696,ENST00000176183,sp|P21917|DRD4_HUMAN
ENSG00000070031,ENST00000176195,sp|P09683|SECR_HUMAN
ENSG00000072786,ENST00000176763,sp|O94804|STK10_HUMAN
ENSG00000073861,ENST00000177694,sp|Q9UL17|TBX21_HUMAN
ENSG00000137764,ENST00000178640,sp|Q13163|MP2K5_HUMAN
ENSG00000078237,ENST00000179259,sp|Q9NQ88|TIGAR_HUMAN
ENSG00000078579,ENST00000180166,sp|Q9NP95|FGF20_HUMAN
ENSG00000003987,ENST00000180173,sp|Q9Y216|MTMR7_HUMAN
ENSG00000080618,ENST00000181383,sp|Q96IY4|CBPB2_HUMAN
ENSG00000065883,ENST00000181839,sp|Q14004|CDK13_HUMAN
ENSG00000064201,ENST00000182290,sp|Q96QS1|TSN32_HUMAN
ENSG00000065308,ENST00000182527,sp|Q15035|TRAM2_HUMAN
ENSG00000065371,ENST00000184183,sp|Q9HAT0|ROP1A_HUMAN
ENSG00000065518,ENST00000184266,sp|O95168|NDUB4_HUMAN
ENSG00000068097,ENST00000184956,sp|Q6AI08|HEAT6_HUMAN
ENSG00000068912,ENST00000185150,sp|Q96DZ1|ERLEC_HUMAN
ENSG00000075568,ENST00000186436,sp|Q92545|TM131_HUMAN
ENSG00000172995,ENST00000187397,sp|Q9UBL0|ARP21_HUMAN
ENSG00000007129,ENST00000187608,sp|Q3KPI0|CEA21_HUMAN
ENSG00000072954,ENST00000187762,sp|Q9H6F2|TM38A_HUMAN
ENSG00000075089,ENST00000188312,sp|Q9GZN1|ARP6_HUMAN
ENSG00000078098,ENST00000188790,sp|Q12884|SEPR_HUMAN
ENSG00000064218,ENST00000190165,sp|Q9NQL9|DMRT3_HUMAN
ENSG00000154252,ENST00000192314,sp|Q9H3Q3|G3ST2_HUMAN
ENSG00000065060,ENST00000192788,sp|Q6BDS2|URFB1_HUMAN
ENSG00000081087,ENST00000193322,sp|Q86WC4|OSTM1_HUMAN
ENSG00000081148,ENST00000193391,sp|Q9BZV3|IMPG2_HUMAN
ENSG00000081800,ENST00000194130,sp|Q9BZW2|S13A1_HUMAN
ENSG00000081818,ENST00000194152,sp|Q9Y5E5|PCDB4_HUMAN
ENSG00000112852,ENST00000194155,sp|Q9Y5E7|PCDB2_HUMAN
ENSG00000081870,ENST00000194214,sp|Q9Y547|IFT25_HUMAN
ENSG00000082146,ENST00000194530,sp|Q9C0K7|STRAB_HUMAN
ENSG00000083097,ENST00000349129,sp|Q5JWR5|DOP1_HUMAN
ENSG00000083444,ENST00000196061,sp|Q02809|PLOD1_HUMAN
ENSG00000083720,ENST00000196371,sp|P55809|SCOT1_HUMAN
ENSG00000083817,ENST00000196489,sp|Q9BWM5|ZN416_HUMAN
ENSG00000084444,ENST00000197268,sp|A2RU67|F234B_HUMAN
ENSG00000085514,ENST00000198536,sp|Q9UKJ1|PILRA_HUMAN
ENSG00000085721,ENST00000198767,sp|Q9NYV6|RRN3_HUMAN
ENSG00000166391,ENST00000198801,sp|Q3SYC2|MOGT2_HUMAN
ENSG00000167580,ENST00000199280,sp|P41181|AQP2_HUMAN
ENSG00000086189,ENST00000199320,sp|Q9UNQ2|DIM1_HUMAN
ENSG00000086232,ENST00000199389,sp|Q9BQI3|E2AK1_HUMAN
ENSG00000086288,ENST00000199447,sp|Q8N427|TXND3_HUMAN
ENSG00000086289,ENST00000199448,sp|Q9UM22|EPDR1_HUMAN
ENSG00000086504,ENST00000199706,sp|Q13084|RM28_HUMAN
ENSG00000086506,ENST00000199708,sp|P09105|HBAT_HUMAN
ENSG00000086548,ENST00000199764,sp|P40199|CEAM6_HUMAN
ENSG00000086589,ENST00000199814,sp|Q9NW64|RBM22_HUMAN
ENSG00000086696,ENST00000199936,sp|P37059|DHB2_HUMAN
ENSG00000086827,ENST00000200135,sp|O43264|ZW10_HUMAN
ENSG00000087074,ENST00000200453,sp|O75807|PR15A_HUMAN
ENSG00000087077,ENST00000200457,sp|Q15654|TRIP6_HUMAN
ENSG00000073670,ENST00000200557,sp|O75078|ADA11_HUMAN
ENSG00000197208,ENST00000200652,sp|Q9H015|S22A4_HUMAN
ENSG00000087237,ENST00000200676,sp|P11597|CETP_HUMAN
ENSG00000087250,ENST00000200691,sp|P25713|MT3_HUMAN
ENSG00000087494,ENST00000201015,sp|P12272|PTHR_HUMAN
ENSG00000087510,ENST00000201031,sp|Q92754|AP2C_HUMAN
ENSG00000088002,ENST00000201586,sp|O00204|ST2B1_HUMAN
ENSG00000131037,ENST00000201647,sp|Q8TE68|ES8L1_HUMAN
ENSG00000088320,ENST00000201979,sp|O75628|REM1_HUMAN
ENSG00000088356,ENST00000202017,sp|Q9NUG6|PDRG1_HUMAN
ENSG00000088367,ENST00000202028,sp|Q9H4G0|E41L1_HUMAN
ENSG00000088808,ENST00000202556,sp|Q96KQ4|ASPP1_HUMAN
ENSG00000166948,ENST00000202625,sp|O95932|TGM3L_HUMAN
ENSG00000188559,ENST00000202677,sp|Q2PPJ7|RGPA2_HUMAN
ENSG00000089009,ENST00000202773,sp|Q02878|RL6_HUMAN
ENSG00000089048,ENST00000202816,sp|Q9H501|ESF1_HUMAN
ENSG00000089127,ENST00000202917,sp|P00973|OAS1_HUMAN
ENSG00000089163,ENST00000202967,sp|Q9Y6E7|SIR4_HUMAN
ENSG00000089195,ENST00000203001,sp|Q9UJA5|TRM6_HUMAN
ENSG00000010256,ENST00000203407,sp|P31930|QCR1_HUMAN
ENSG00000089639,ENST00000203556,sp|Q9P107|GMIP_HUMAN
ENSG00000089692,ENST00000203629,sp|P18627|LAG3_HUMAN
ENSG00000089693,ENST00000203630,sp|Q15773|MLF2_HUMAN
ENSG00000089723,ENST00000203664,sp|Q96DC9|OTUB2_HUMAN
ENSG00000089820,ENST00000350060,sp|P98171|RHG04_HUMAN
ENSG00000090447,ENST00000204517,sp|Q01664|TFAP4_HUMAN
ENSG00000090470,ENST00000204549,sp|Q8N8D1|PDCD7_HUMAN
ENSG00000090487,ENST00000204566,sp|Q9NZD8|SPG21_HUMAN
ENSG00000090539,ENST00000204604,sp|Q9H2X0|CHRD_HUMAN
ENSG00000090581,ENST00000204679,sp|Q9UJJ9|GNPTG_HUMAN
ENSG00000090776,ENST00000204961,sp|P98172|EFNB1_HUMAN
ENSG00000090971,ENST00000205194,sp|Q8WUY8|NAT14_HUMAN
ENSG00000157426,ENST00000205214,sp|Q4L235|ACSF4_HUMAN
ENSG00000091128,ENST00000205386,sp|A4D0S4|LAMB4_HUMAN
ENSG00000091140,ENST00000205402,sp|P09622|DLDH_HUMAN
ENSG00000091262,ENST00000205557,sp|O95255|MRP6_HUMAN
ENSG00000091317,ENST00000205636,sp|Q9NX76|CKLF6_HUMAN
ENSG00000091583,ENST00000205948,sp|P02749|APOH_HUMAN
ENSG00000091640,ENST00000206020,sp|O75391|SPAG7_HUMAN
ENSG00000091947,ENST00000206380,sp|Q96IK0|TM101_HUMAN
ENSG00000091986,ENST00000206423,sp|Q76M96|CCD80_HUMAN
ENSG00000092010,ENST00000206451,sp|Q06323|PSME1_HUMAN
ENSG00000092036,ENST00000206474,sp|Q9H6D7|HAUS4_HUMAN
ENSG00000092067,ENST00000206513,sp|Q15744|CEBPE_HUMAN
ENSG00000092094,ENST00000206542,sp|Q9NPF4|OSGEP_HUMAN
ENSG00000092140,ENST00000206595,sp|Q7L622|G2E3_HUMAN
ENSG00000092295,ENST00000206765,sp|P22735|TGM1_HUMAN
ENSG00000092850,ENST00000207457,sp|Q9UIF3|TEKT2_HUMAN
ENSG00000092929,ENST00000207549,sp|Q70J99|UN13D_HUMAN
ENSG00000093217,ENST00000207870,sp|O75191|XYLB_HUMAN
ENSG00000196344,ENST00000209665,sp|P40394|ADH7_HUMAN
ENSG00000187758,ENST00000209668,sp|P07327|ADH1A_HUMAN
ENSG00000108244,ENST00000209718,sp|Q9C075|K1C23_HUMAN
ENSG00000094804,ENST00000209728,sp|Q99741|CDC6_HUMAN
ENSG00000094914,ENST00000209873,sp|Q9NRG9|AAAS_HUMAN
ENSG00000094916,ENST00000209875,sp|P45973|CBX5_HUMAN
ENSG00000076321,ENST00000209884,sp|Q9Y2M5|KLH20_HUMAN
ENSG00000094963,ENST00000209929,sp|Q99518|FMO2_HUMAN
ENSG00000095059,ENST00000210060,sp|P49366|DHYS_HUMAN
ENSG00000167964,ENST00000210187,sp|Q9ULW5|RAB26_HUMAN
ENSG00000095261,ENST00000210313,sp|Q16401|PSMD5_HUMAN
ENSG00000095380,ENST00000210444,sp|Q9NR45|SIAS_HUMAN
ENSG00000095539,ENST00000210633,sp|Q9NTN9|SEM4G_HUMAN
ENSG00000095917,ENST00000211076,sp|Q9BZJ3|TRYD_HUMAN
ENSG00000174156,ENST00000211122,sp|Q16772|GSTA3_HUMAN
ENSG00000156711,ENST00000211287,sp|O15264|MK13_HUMAN
ENSG00000096092,ENST00000211314,sp|Q9Y6G1|TM14A_HUMAN
ENSG00000204314,ENST00000211413,sp|Q99946|PRRT1_HUMAN
ENSG00000096717,ENST00000212015,sp|Q96EB6|SIR1_HUMAN
ENSG00000099203,ENST00000214869,sp|Q13445|TMED1_HUMAN
ENSG00000099326,ENST00000215057,sp|P28698|MZF1_HUMAN
ENSG00000099330,ENST00000215061,sp|Q9H607|OCEL1_HUMAN
ENSG00000099341,ENST00000215071,sp|P48556|PSMD8_HUMAN
ENSG00000099365,ENST00000215095,sp|P61266|STX1B_HUMAN
ENSG00000099385,ENST00000215115,sp|Q8WUZ0|BCL7C_HUMAN
ENSG00000099617,ENST00000215368,sp|O43921|EFNA2_HUMAN
ENSG00000070388,ENST00000215530,sp|Q9HCT0|FGF22_HUMAN
ENSG00000095932,ENST00000215531,sp|O75264|SIM24_HUMAN
ENSG00000099769,ENST00000215539,sp|P35858|ALS_HUMAN
ENSG00000099785,ENST00000215555,sp|Q9P0N8|MARH2_HUMAN
ENSG00000099795,ENST00000215565,sp|P17568|NDUB7_HUMAN
ENSG00000099797,ENST00000215567,sp|Q9NZ01|TECR_HUMAN
ENSG00000099800,ENST00000215570,sp|Q9Y5L4|TIM13_HUMAN
ENSG00000099804,ENST00000215574,sp|P49427|UB2R1_HUMAN
ENSG00000099812,ENST00000215582,sp|Q8IVT2|MISP_HUMAN
ENSG00000099860,ENST00000215631,sp|O75293|GA45B_HUMAN
ENSG00000099866,ENST00000215637,sp|Q13477|MADCA_HUMAN
ENSG00000188130,ENST00000215659,sp|P53778|MK12_HUMAN
ENSG00000099937,ENST00000215727,sp|P05546|HEP2_HUMAN
ENSG00000099940,ENST00000215730,sp|O95721|SNP29_HUMAN
ENSG00000184436,ENST00000215742,sp|Q9BT49|THAP7_HUMAN
ENSG00000099953,ENST00000215743,sp|P24347|MMP11_HUMAN
ENSG00000240972,ENST00000215754,sp|P14174|MIF_HUMAN
ENSG00000099974,ENST00000215770,sp|A6NHG4|DDTL_HUMAN
ENSG00000099985,ENST00000215781,sp|P13725|ONCM_HUMAN
ENSG00000099992,ENST00000215790,sp|Q9BXI6|TB10A_HUMAN
ENSG00000099995,ENST00000215793,sp|Q15459|SF3A1_HUMAN
ENSG00000184979,ENST00000215794,sp|Q9UMW8|UBP18_HUMAN
ENSG00000100012,ENST00000215812,sp|Q9UDX4|S14L3_HUMAN
ENSG00000100028,ENST00000215829,sp|P62318|SMD3_HUMAN
ENSG00000100030,ENST00000215832,sp|P28482|MK01_HUMAN
ENSG00000185339,ENST00000215838,sp|P20062|TCO2_HUMAN
ENSG00000100053,ENST00000215855,sp|P26998|CRBB3_HUMAN
ENSG00000100075,ENST00000215882,sp|P53007|TXTP_HUMAN
ENSG00000100078,ENST00000215885,sp|Q9NZ20|PA2G3_HUMAN
ENSG00000100079,ENST00000215886,sp|P05162|LEG2_HUMAN
ENSG00000241360,ENST00000215904,sp|Q96GD0|PLPP_HUMAN
ENSG00000128203,ENST00000215906,sp|Q6ICH7|ASPH2_HUMAN
ENSG00000100097,ENST00000215909,sp|P09382|LEG1_HUMAN
ENSG00000100100,ENST00000215912,sp|Q96FE7|P3IP1_HUMAN
ENSG00000100104,ENST00000215917,sp|Q9UH36|SRR1L_HUMAN
ENSG00000100124,ENST00000215941,sp|Q6NXT1|ANR54_HUMAN
ENSG00000100139,ENST00000215957,sp|Q8N3F8|MILK1_HUMAN
ENSG00000100162,ENST00000215980,sp|Q9NSP4|CENPM_HUMAN
ENSG00000100196,ENST00000216014,sp|O43731|ERD23_HUMAN
ENSG00000100206,ENST00000216024,sp|Q14565|DMC1_HUMAN
ENSG00000100209,ENST00000216027,sp|Q8IWL3|HSC20_HUMAN
ENSG00000100216,ENST00000216034,sp|Q9NS69|TOM22_HUMAN
ENSG00000100218,ENST00000216036,sp|Q9UHP6|RSP14_HUMAN
ENSG00000100219,ENST00000216037,sp|P17861|XBP1_HUMAN
ENSG00000100220,ENST00000216038,sp|Q9Y3I0|RTCB_HUMAN
ENSG00000100221,ENST00000216039,sp|Q15040|JOS1_HUMAN
ENSG00000100226,ENST00000216044,sp|O00178|GTPB1_HUMAN
ENSG00000100246,ENST00000216068,sp|O96015|DNAL4_HUMAN
ENSG00000100249,ENST00000216071,sp|O95567|CV031_HUMAN
ENSG00000100253,ENST00000216075,sp|Q9UGB7|MIOX_HUMAN
ENSG00000100263,ENST00000216085,sp|Q9Y3P4|RHBD3_HUMAN
ENSG00000243811,ENST00000216099,sp|Q96AK3|ABC3D_HUMAN
ENSG00000100276,ENST00000216101,sp|Q92737|RSLAA_HUMAN
ENSG00000100281,ENST00000216106,sp|Q9UGU5|HMGX4_HUMAN
ENSG00000100290,ENST00000216115,sp|Q13323|BIK_HUMAN
ENSG00000100292,ENST00000216117,sp|P09601|HMOX1_HUMAN
ENSG00000184117,ENST00000216121,sp|Q9BPW8|NIPS1_HUMAN
ENSG00000100297,ENST00000216122,sp|P33992|MCM5_HUMAN
ENSG00000100298,ENST00000348946,sp|Q6NTF7|ABC3H_HUMAN
ENSG00000100302,ENST00000216127,sp|Q96D21|RHES_HUMAN
ENSG00000100304,ENST00000216129,sp|Q14166|TTL12_HUMAN
ENSG00000100307,ENST00000216133,sp|O95931|CBX7_HUMAN
ENSG00000100312,ENST00000216139,sp|P10323|ACRO_HUMAN
